puissance maximale,modele,marque,annee,carrosserie,portes,sieges,cylindree,transmission,moteur,production,position du moteur,classe,annees de production
270,328 GTB, Ferrari,,Coupé,,,185,Boîte de vitesses à 5 rapports,"V8 3,2 L",500,,Coupé sport,1985
270,328 GTS, Ferrari,,Coupé,,,185,Boîte de vitesses à 5 rapports,"V8 3,2 L",500,,Coupé sport,1985
300 ch,Mondial 3.2, Ferrari,,Coupé 2+2,,,405,Propulsion,"V8 3,4 L, 32s",017,Transversale centrale arrière,Grand Tourisme,1989
340,412, Ferrari,,Coupé 2+2,,,943,Propulsion,"V12 4,9 L, 24s",576,Longitudinale avant,Grand Tourisme,1985
,208 GTS,Ferrari,,,,,,,,,,,
760 à 780 ch  (567 à 582 kW),F40, Ferrari,,Coupé 2-portes,,,936,Propulsion,V8 à 90° Biturbo,315,Longitudinale centrale arrière,Voiture de course,1989
300,348 TS, Ferrari,,Coupé,,,405,Propulsion,"V8 3,4 litres",8800,Centrale arrière,Coupé sport,1989
300 ch,Mondial T, Ferrari,,Coupé 2+2,,,405,Propulsion,"V8 3,4 L, 32s",017,Transversale centrale arrière,Grand Tourisme,1989
300,348 TB, Ferrari,,Coupé,,,405,Propulsion,"V8 3,4 litres",8800,Centrale arrière,Coupé sport,1989
428,512 TR, Ferrari,,Testarossa512 TR (Testa Rossa)F512 M (Modifiée)Testarossa Spider ValeoFerrari Testarossa F90 SpecialeFerrari MythosFZ93 ZagatoFerrari FXKoenig SpecialsFerrari Testa D’Oro,,,943,Propulsion,12 cylindres à plat,177,Centrale arrière,Voiture de sport Grand Tourisme,1984
442,456 GT, Ferrari,,Coupé 2 portes,,,474,Propulsion,"V12, 48 soupapes",289,Longitudinale avant,Sportive de prestige,1992
380,F355 Berlinetta, Ferrari,,Coupé 2 portes,,,496,Propulsion,"V8 à 90° ; 3,5 litres ; 40 S",273,Longitudinale centrale arrière,Sportive de prestige,1994
380,F355 GTS, Ferrari,,Coupé 2 portes,,,496,Propulsion,"V8 à 90° ; 3,5 litres ; 40 S",273,Longitudinale centrale arrière,Sportive de prestige,1994
