Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
102000,01/1988,23840,,328,ferrari,1988,rouge,,rouge,,rouge,,,coupe,,,,boîtemanuelle
110000,12/1988,67800,,testarossa,ferrari,1988,,,,,rosso,,,coupe,2,,4.942cm³,boîtemanuelle
115000,03/1988,38129,390,testarossa,ferrari,1988,rouge,noir,rouge,,,,noir,coupe,2,2,,boîtemanuelle
119000,03/1988,33274,390,testarossa,ferrari,1988,rouge,,rouge,,,,,coupe,2,,4.943cm³,boîtemanuelle
120000,06/1988,19000,390,testarossa,ferrari,1988,noir,cuirpartielbeige,noir,,,italie,cuirpartielbeige,coupe,2,2,4.942cm³,boîtemanuelle
127900,07/1988,15000,271,328,ferrari,1988,rouge,cuirbeige,rouge,,rosso,allemagne,cuirbeige,cabriolet,2,2,3.164cm³,boîtemanuelle
73000,06/1989,65500,271,328,ferrari,1989,rouge,cuirnoir,rouge,,,,cuirnoir,cabriolet,,,,
75000,07/1989,56036,254,208,ferrari,1989,rouge,cuirnoir,rouge,,rossocorsa,italie,cuirnoir,coupe,2,2,1.990cm³,boîtemanuelle
79000,03/1989,42751,254,208,ferrari,1989,rouge,cuirnoir,rouge,,,italie,cuirnoir,cabriolet,3,2,1.991cm³,boîtemanuelle
79890,07/1989,41800,271,328,ferrari,1989,blanc,cuirnoir,blanc,,,,cuirnoir,coupe,2,2,3.185cm³,boîtemanuelle
79900,01/1989,88000,254,208,ferrari,1989,noir,cuirbeige,noir,,schwarz,,cuirbeige,coupe,2,2,1.990cm³,boîtemanuelle
79900,10/1989,18000,299,348,ferrari,1989,rouge,cuirnoir,rouge,metallise,,,cuirnoir,coupe,2,4,3.405cm³,boîtemanuelle
79999,06/1989,88800,390,testarossa,ferrari,1989,rouge,cuirnoir,rouge,,rossocorsa,,cuirnoir,coupe,2,2,5.000cm³,boîtemanuelle
79999,06/1989,88800,390,testarossa,ferrari,1989,rouge,cuirnoir,rouge,,rossocorsa,belgique,cuirnoir,coupe,2,2,5.000cm³,boîtemanuelle
89000,01/1989,84000,271,328,ferrari,1989,rouge,,rouge,,,,,cabriolet,,,,
89000,02/1989,70337,271,328,ferrari,1989,rouge,cuirnoir,rouge,,rosso,,cuirnoir,cabriolet,2,2,3.164cm³,boîtemanuelle
89900,07/1989,88000,271,328,ferrari,1989,rouge,cuirbeige,rouge,,rosso,autriche,cuirbeige,cabriolet,2,2,3.186cm³,boîtemanuelle
89990,04/1989,26842,271,328,ferrari,1989,argent,cuirnoir,argent,metallise,,belgique,cuirnoir,coupe,2,2,3.200cm³,boîtemanuelle
