Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
9950,11/2007,168000,150,z4,bmw,2007,,,,,,,,coupe,2,2,1.995cm³,boîtemanuelle
10599,11/2006,78900,150,z4,bmw,2006,noir,cuirnoir,noir,,,,cuirnoir,cabriolet,,,1.995cm³,
11990,03/2004,142020,192,z4,bmw,2004,gris,cuirnoir,gris,metallise,sterling-grau,,cuirnoir,cabriolet,2,2,2.494cm³,boîtemanuelle
12500,06/2003,121900,192,z4,bmw,2003,gris,cuirpartielbeige,gris,metallise,sterlinggraumetallic,allemagne,cuirpartielbeige,cabriolet,2,2,2.494cm³,boîtemanuelle
13900,04/2010,159982,204,z4,bmw,2010,noir,cuirnoir,noir,metallise,black-sapphire-metallic,allemagne,cuirnoir,cabriolet,2,2,2.497cm³,boîtemanuelle
13950,04/2003,79838,231,z4,bmw,2003,gris,cuir,gris,metallise,,,cuir,cabriolet,2,,2.979cm³,boîteautomatique
15945,05/2008,151350,265,z4,bmw,2008,blanc,cuirrouge,blanc,,alpinweiss3,,cuirrouge,coupe,3,2,2.996cm³,boîteautomatique
16900,06/2006,91000,265,z4,bmw,2006,vert,,vert,,verde,,,coupe,2,2,2.996cm³,boîteautomatique
17750,09/2009,70600,204,z4,bmw,2009,blanc,cuirautres,blanc,,alpinweiß,,cuirautres,cabriolet,2,2,2.497cm³,boîtemanuelle
17950,06/2013,99000,163,z4,bmw,2013,gris,cuirnoir,gris,metallise,,,cuirnoir,cabriolet,2,2,1.997cm³,boîtemanuelle
18950,07/2004,87535,232,z4,bmw,2004,gris,cuirnoir,gris,metallise,grijs,pays-bas,cuirnoir,cabriolet,2,2,2.979cm³,boîteautomatique
19700,08/2013,98000,156,z4,bmw,2013,gris,alcantara,gris,metallise,mineralgraumetallic,allemagne,alcantara,cabriolet,2,2,1.997cm³,boîteautomatique
19900,03/2010,116033,204,z4,bmw,2010,bleu,cuirnoir,bleu,metallise,blauw,pays-bas,cuirnoir,cabriolet,2,2,2.497cm³,boîtemanuelle
21490,05/2007,69900,265,z4,bmw,2007,noir,cuirbrun,noir,metallise,blacksapphiremetallic,,cuirbrun,coupe,2,2,2.996cm³,boîteautomatique
21500,08/2013,98000,156,z4,bmw,2013,gris,alcantara,gris,metallise,mineralgraumetallic,allemagne,alcantara,cabriolet,2,2,1.997cm³,boîteautomatique
21900,03/2009,64000,265,z4,bmw,2009,bleu,,bleu,metallise,azul,,,coupe,2,2,2.996cm³,boîteautomatique
21990,07/2011,43350,204,z4,bmw,2011,blanc,cuirnoir,blanc,,alpinweiss3,,cuirnoir,cabriolet,2,2,2.497cm³,boîtemanuelle
22450,05/2009,88773,306,z4,bmw,2009,blanc,cuirnoir,blanc,,alpinweiss3,allemagne,cuirnoir,cabriolet,2,2,2.979cm³,boîteautomatique
23495,06/2015,27500,156,z4,bmw,2015,noir,tissunoir,noir,metallise,blacksapphiremetallic,allemagne,tissunoir,cabriolet,2,2,1.997cm³,boîteautomatique
23500,06/2014,51278,156,z4,bmw,2014,blanc,cuirnoir,blanc,metallise,sonderlackierung,allemagne,cuirnoir,cabriolet,2,2,1.997cm³,boîtemanuelle
23990,06/2016,67800,184,z4,bmw,2016,noir,,noir,metallise,negro,,,coupe,2,2,1.997cm³,boîteautomatique
25990,08/2014,117900,340,z4,bmw,2014,bleu,cuirbeige,bleu,metallise,tiefseeblau,allemagne,cuirbeige,cabriolet,2,2,2.979cm³,boîteautomatique
26950,06/2014,89059,156,z4,bmw,2014,blanc,cuirnoir,blanc,metallise,lichtwitparelmoer,pays-bas,cuirnoir,cabriolet,2,2,1.997cm³,boîteautomatique
27500,06/2012,51000,258,z4,bmw,2012,noir,cuirautres,noir,metallise,blacksapphiremetallic,,cuirautres,cabriolet,2,2,2.996cm³,boîteautomatique
27880,06/2012,45880,245,z4,bmw,2012,noir,cuirnoir,noir,metallise,blacksapphiremetallic,allemagne,cuirnoir,cabriolet,2,2,1.997cm³,boîteautomatique
34750,03/2020,74500,340,z4,bmw,2020,noir,cuirnoir,noir,metallise,zwart,,cuirnoir,cabriolet,3,,2.979cm³,boîteautomatique
35400,04/2017,18480,156,z4,bmw,2017,gris,cuirbeige,gris,metallise,,belgique,cuirbeige,cabriolet,2,2,1.997cm³,boîteautomatique
41000,04/2019,18813,197,z4,bmw,2019,blanc,cuirnoir,blanc,metallise,wit,,cuirnoir,cabriolet,2,,1.998cm³,boîteautomatique
41899,08/2013,38310,340,z4,bmw,2013,gris,cuirnoir,gris,metallise,mineralgrau(grijsmetal,,cuirnoir,cabriolet,2,2,2.979cm³,boîteautomatique
43900,06/2019,21765,163,z4,bmw,2019,blanc,cuirbeige,blanc,,,,cuirbeige,cabriolet,2,2,1.998cm³,boîteautomatique
47400,03/2019,4448,258,z4,bmw,2019,blanc,cuir,blanc,uni,wit,,cuir,cabriolet,2,,1.998cm³,boîteautomatique
50490,-/-,,197,z4,bmw,,bleu,cuirbrun,bleu,metallise,mediterranblau,belgique,cuirbrun,cabriolet,2,2,1.998cm³,boîteautomatique
52880,05/2019,6169,258,z4,bmw,2019,bleu,cuirbeige,bleu,metallise,mediterranblau(blauwmet,pays-bas,cuirbeige,cabriolet,2,2,1.998cm³,boîteautomatique
2700,07/2003,1000,231,z4,bmw,2003,noir,cuir,noir,,,,cuir,cabriolet,2,2,2.979cm³,semi-automatique
2999,10/2004,156000,231,z4,bmw,2004,argent,,argent,,,,,cabriolet,2,2,2.979cm³,boîtemanuelle
4400,12/2003,280000,192,z4,bmw,2003,bleu,,bleu,,,,,cabriolet,2,2,2.494cm³,boîtemanuelle
4950,03/2004,197923,192,z4,bmw,2004,gris,,gris,metallise,,,,cabriolet,2,2,2.494cm³,semi-automatique
4999,01/2006,244989,150,z4,bmw,2006,noir,cuirrouge,noir,metallise,,,cuirrouge,cabriolet,2,2,1.995cm³,boîtemanuelle
5500,07/2004,170000,170,z4,bmw,2004,or,,or,,,,,cabriolet,2,2,2.171cm³,boîtemanuelle
5500,01/2005,143000,170,z4,bmw,2005,noir,,noir,,,,,cabriolet,2,2,2.171cm³,boîtemanuelle
5500,02/2004,125000,192,z4,bmw,2004,bleu,,bleu,,,,,cabriolet,2,2,2.494cm³,boîtemanuelle
5600,07/2004,300500,170,z4,bmw,2004,noir,,noir,,,,,cabriolet,2,2,2.171cm³,boîtemanuelle
5600,07/2004,300000,170,z4,bmw,2004,noir,,noir,,,,,cabriolet,2,2,2.171cm³,boîtemanuelle
