Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
31985,01/1986,96000,310,928,porsche,1986,gris,cuirnoir,gris,,grismetormetalise,,cuirnoir,coupe,2,4,4.664cm³,boîtemanuelle
31985,01/1986,96000,310,928,porsche,1986,gris,cuirnoir,gris,metallise,grismetormetalise,france,cuirnoir,coupe,2,4,4.664cm³,boîtemanuelle
32500,12/1986,142000,320,928,porsche,1986,bleu,,bleu,metallise,,,,coupe,2,4,4.898cm³,boîtemanuelle
32990,05/1986,89299,220,944,porsche,1986,argent,cuirnoir,argent,metallise,zermattsilbermetallic,,cuirnoir,coupe,2,4,2.449cm³,boîtemanuelle
35900,11/1986,120000,231,911,porsche,1986,blanc,cuirblanc,blanc,,,,cuirblanc,cabriolet,2,4,3.164cm³,boîtemanuelle
37000,06/1986,235900,220,944,porsche,1986,blanc,cuirpartielnoir,blanc,,,,cuirpartielnoir,coupe,2,4,2.449cm³,boîtemanuelle
37500,02/1986,141462,231,911,porsche,1986,noir,tissunoir,noir,,zwart,,tissunoir,cabriolet,2,,3.164cm³,boîtemanuelle
37950,06/1986,297472,231,911,porsche,1986,rouge,cuirnoir,rouge,,,,cuirnoir,cabriolet,,,,boîtemanuelle
38900,04/1986,120000,220,944,porsche,1986,,cuirbrun,,,,allemagne,cuirbrun,coupe,2,4,2.449cm³,boîtemanuelle
38950,04/1986,124300,310,928,porsche,1986,vert,cuirautres,vert,metallise,,allemagne,cuirautres,coupe,2,4,4.608cm³,boîtemanuelle
39911,02/1986,141227,232,911,porsche,1986,rouge,cuirnoir,rouge,metallise,rood,pays-bas,cuirnoir,cabriolet,2,,3.164cm³,boîtemanuelle
43300,06/1986,242850,231,911,porsche,1986,vert,,vert,metallise,,,,cabriolet,2,4,3.125cm³,boîtemanuelle
44000,03/1986,129000,231,911,porsche,1986,bleu,tissubleu,bleu,metallise,l35u,,tissubleu,coupe,2,4,3.200cm³,boîtemanuelle
44500,01/1986,196000,231,911,porsche,1986,blanc,cuirnoir,blanc,,,,cuirnoir,coupe,,,,
45000,01/1986,220000,230,911,porsche,1986,rouge,,rouge,,,,,cabriolet,2,4,3.164cm³,boîtemanuelle
46900,07/1986,285298,231,911,porsche,1986,rouge,cuirnoir,rouge,,,belgique,cuirnoir,coupe,2,4,3.200cm³,boîtemanuelle
48000,01/1986,140000,231,911,porsche,1986,rouge,,rouge,,,,,coupe,2,4,3.164cm³,boîtemanuelle
48500,07/1986,59000,231,911,porsche,1986,bleu,,bleu,metallise,,,,coupe,2,4,3.125cm³,boîtemanuelle
48900,01/1986,144000,207,911,porsche,1986,rouge,cuirnoir,rouge,,indischrot,etats-unis,cuirnoir,cabriolet,2,4,3.125cm³,boîtemanuelle
48911,10/1986,138000,218,911,porsche,1986,blanc,cuirpartielnoir,blanc,,grandprixweiss,allemagne,cuirpartielnoir,coupe,2,4,3.125cm³,boîtemanuelle
48990,07/1986,111087,231,911,porsche,1986,bleu,cuirautres,bleu,metallise,blaumetallic,allemagne,cuirautres,cabriolet,2,2,3.125cm³,boîtemanuelle
49490,06/1986,157000,247,911,porsche,1986,noir,cuirnoir,noir,,,allemagne,cuirnoir,cabriolet,2,4,3.125cm³,boîtemanuelle
49500,06/1986,164000,231,911,porsche,1986,noir,,noir,,,,,coupe,2,4,3.125cm³,boîtemanuelle
49500,01/1986,235000,231,911,porsche,1986,bleu,cuirpartielbleu,bleu,,nachtblauw,pays-bas,cuirpartielbleu,coupe,2,,3.164cm³,boîtemanuelle
49900,12/1986,198000,207,911,porsche,1986,rouge,cuirnoir,rouge,metallise,cassis,etats-unis,cuirnoir,cabriolet,2,4,3.125cm³,boîtemanuelle
49900,06/1986,164153,,911,porsche,1986,rouge,autres,rouge,,guardsred,,autres,cabriolet,2,,3.200cm³,boîtemanuelle
49911,05/1986,217000,218,911,porsche,1986,rouge,cuirnoir,rouge,,,,cuirnoir,cabriolet,,,,boîtemanuelle
49911,11/1986,126000,230,911,porsche,1986,gris,cuirnoir,gris,metallise,silbermetallise,belgique,cuirnoir,coupe,2,4,3.200cm³,boîtemanuelle
49911,01/1986,139610,207,911,porsche,1986,noir,cuirrouge,noir,,schwarz,,cuirrouge,cabriolet,2,4,3.125cm³,boîtemanuelle
49999,05/1986,179000,231,911,porsche,1986,noir,,noir,,,,,cabriolet,2,4,3.125cm³,boîtemanuelle
50000,07/1986,99800,207,911,porsche,1986,noir,,noir,,,,,coupe,2,4,3.125cm³,boîtemanuelle
50990,03/1986,117900,207,911,porsche,1986,rouge,cuirnoir,rouge,,indischrot,allemagne,cuirnoir,coupe,2,4,3.164cm³,boîtemanuelle
51800,05/1986,62600,231,911,porsche,1986,rouge,,rouge,metallise,,,,cabriolet,2,4,3.125cm³,boîtemanuelle
52980,07/1986,148949,231,911,porsche,1986,rouge,cuirnoir,rouge,,,allemagne,cuirnoir,coupe,2,4,3.164cm³,boîtemanuelle
53000,01/1986,135609,230,911,porsche,1986,rouge,,rouge,,,,,coupe,2,4,3.164cm³,boîtemanuelle
53500,05/1986,220000,231,911,porsche,1986,noir,,noir,,,,,coupe,2,4,3.164cm³,boîtemanuelle
53900,07/1986,176915,207,911,porsche,1986,noir,cuirpartielnoir,noir,,a1v9unischwarz,,cuirpartielnoir,cabriolet,2,4,3.125cm³,boîtemanuelle
53911,07/1986,196750,209,911,porsche,1986,noir,cuirbeige,noir,,schwarz,,cuirbeige,cabriolet,,,3.125cm³,boîtemanuelle
54911,06/1986,215700,231,911,porsche,1986,rouge,,rouge,,,,,coupe,2,4,3.164cm³,boîtemanuelle
55000,11/1986,114000,231,911,porsche,1986,bleu,,bleu,,,,,,,,,
55000,07/1986,173000,207,targa,porsche,1986,noir,,noir,,,,,cabriolet,2,4,3.125cm³,boîtemanuelle
55000,09/1986,163000,231,911,porsche,1986,noir,cuirnoir,noir,,,italie,cuirnoir,coupe,2,4,3.164cm³,boîtemanuelle
55500,06/1986,114500,207,911,porsche,1986,rouge,cuirnoir,rouge,,,,cuirnoir,cabriolet,2,4,3.125cm³,boîtemanuelle
55911,02/1986,190817,232,911,porsche,1986,bleu,cuirnoir,bleu,,blauw,pays-bas,cuirnoir,coupe,2,,3.164cm³,boîtemanuelle
56000,08/1986,80000,230,targa,porsche,1986,rouge,,rouge,,,,,coupe,2,,3.164cm³,boîtemanuelle
56500,07/1986,195147,207,911,porsche,1986,argent,cuirpartielnoir,argent,metallise,silber,,cuirpartielnoir,cabriolet,2,4,3.164cm³,boîtemanuelle
56900,06/1986,129000,231,911,porsche,1986,bleu,cuirpartielbleu,bleu,metallise,,italie,cuirpartielbleu,coupe,,,,boîtemanuelle
58000,03/1986,163000,231,911,porsche,1986,noir,cuirnoir,noir,metallise,nero,,cuirnoir,coupe,2,4,3.164cm³,boîtemanuelle
58000,06/1986,245464,231,911,porsche,1986,rouge,cuirnoir,rouge,,indischrot,,cuirnoir,coupe,2,4,3.125cm³,boîtemanuelle
58500,06/1986,115000,218,911,porsche,1986,noir,cuirnoir,noir,metallise,,etats-unis,cuirnoir,cabriolet,2,,3.164cm³,boîtemanuelle
59500,05/1986,147950,207,911,porsche,1986,rouge,,rouge,,,,,coupe,2,4,3.125cm³,boîtemanuelle
59900,04/1986,171000,231,911,porsche,1986,blanc,cuirnoir,blanc,,,allemagne,cuirnoir,cabriolet,2,,3.164cm³,boîtemanuelle
59900,05/1986,126000,207,911,porsche,1986,blanc,autresnoir,blanc,,grandprixweiss,,autresnoir,cabriolet,2,4,3.200cm³,boîtemanuelle
59900,12/1986,148900,231,911,porsche,1986,bleu,cuirbleu,bleu,,,belgique,cuirbleu,cabriolet,2,4,3.164cm³,boîtemanuelle
59990,04/1986,140000,231,911,porsche,1986,noir,,noir,,,,,,,,,
61500,09/1986,101000,235,911,porsche,1986,rouge,,rouge,,,,,cabriolet,,,,
