Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
19880,07/2013,78833,320,135,bmw,2013,gris,tissunoir,gris,metallise,mineralgrau,,tissunoir,berline,3,5,2.979cm³,boîteautomatique
19900,04/2013,118100,320,135,bmw,2013,bleu,,bleu,metallise,,,,berline,5,5,2.979cm³,boîteautomatique
19900,08/2012,139050,306,135,bmw,2012,blanc,noir,blanc,,,,noir,cabriolet,2,4,2.979cm³,boîtemanuelle
19900,09/2013,118700,320,135,bmw,2013,blanc,,blanc,,,,,berline,5,5,2.979cm³,boîteautomatique
19900,11/2011,99500,306,135,bmw,2011,noir,cuirbeige,noir,metallise,,,cuirbeige,coupe,2,4,2.979cm³,boîteautomatique
19950,03/2013,102000,320,135,bmw,2013,argent,cuirnoir,argent,metallise,glaciersilbermetallic,,cuirnoir,berline,4,5,2.979cm³,boîteautomatique
19980,10/2012,82432,320,135,bmw,2012,blanc,alcantaranoir,blanc,,alpinweiss3,allemagne,alcantaranoir,berline,2,5,2.979cm³,boîtemanuelle
19980,05/2009,118693,306,135,bmw,2009,argent,cuirpartielnoir,argent,metallise,titansilbermetallic,allemagne,cuirpartielnoir,coupe,2,4,2.979cm³,boîtemanuelle
19990,01/2013,124000,321,135,bmw,2013,noir,,noir,metallise,,,,berline,3,4,2.979cm³,boîteautomatique
19990,03/2010,119780,306,135,bmw,2010,,cuirbrun,,,alpinaweiss3(300),allemagne,cuirbrun,cabriolet,2,4,2.979cm³,boîteautomatique
19990,09/2010,90000,306,135,bmw,2010,gris,cuirpartielbrun,gris,,,,cuirpartielbrun,coupe,2,4,2.979cm³,boîteautomatique
19990,04/2008,77700,306,135,bmw,2008,argent,cuir,argent,metallise,grau-metallic--matt-foliert,allemagne,cuir,coupe,2,4,2.979cm³,boîtemanuelle
19999,08/2013,117617,320,135,bmw,2013,blanc,alcantaranoir,blanc,,alpinweiss3,,alcantaranoir,coupe,2,5,2.979cm³,boîteautomatique
19999,06/2015,128908,326,135,bmw,2015,noir,alcantaragris,noir,metallise,saphirschwarzmetallic,allemagne,alcantaragris,berline,2,5,2.979cm³,boîtemanuelle
19999,10/2009,83125,306,135,bmw,2009,bleu,cuirgris,bleu,metallise,tiefseeblaumetallic,allemagne,cuirgris,cabriolet,2,4,2.979cm³,boîteautomatique
20000,06/2008,145000,306,135,bmw,2008,blanc,,blanc,,,,,coupe,2,4,2.979cm³,boîtemanuelle
20000,10/2012,92500,306,135,bmw,2012,noir,,noir,metallise,,,,coupe,2,4,2.979cm³,boîtemanuelle
20000,01/2013,56000,320,135,bmw,2013,bleu,,bleu,,,,,coupe,3,4,2.979cm³,boîtemanuelle
20250,10/2013,98500,320,135,bmw,2013,orange,alcantaranoir,orange,metallise,,,alcantaranoir,berline,3,4,2.979cm³,boîtemanuelle
20290,07/2013,118330,306,135,bmw,2013,gris,cuirnoir,gris,metallise,mineralgraumetallic(b39),,cuirnoir,cabriolet,2,4,2.979cm³,boîteautomatique
20299,06/2013,93250,320,135,bmw,2013,blanc,cuirnoir,blanc,metallise,,,cuirnoir,berline,3,4,2.979cm³,boîteautomatique
20490,02/2013,134000,320,135,bmw,2013,blanc,cuirnoir,blanc,,alpinweiss3,allemagne,cuirnoir,berline,2,5,2.979cm³,boîteautomatique
20500,10/2011,99500,306,135,bmw,2011,gris,cuir,gris,metallise,,,cuir,coupe,2,4,2.979cm³,boîteautomatique
20500,11/2009,98000,306,135,bmw,2009,noir,cuirnoir,noir,metallise,,france,cuirnoir,cabriolet,2,4,2.979cm³,boîteautomatique
20780,02/2014,80100,320,135,bmw,2014,bleu,autresautres,bleu,metallise,blaumetallic,,autresautres,berline,5,5,2.979cm³,boîteautomatique
20800,04/2011,104000,306,135,bmw,2011,noir,,noir,metallise,,,,cabriolet,2,4,2.979cm³,boîteautomatique
20900,05/2012,133732,306,135,bmw,2012,blanc,,blanc,,,,,coupe,2,4,2.979cm³,boîteautomatique
20900,01/2013,120034,320,135,bmw,2013,blanc,alcantaranoir,blanc,uni,wit,,alcantaranoir,berline,5,,2.979cm³,boîteautomatique
20900,05/2009,149800,306,135,bmw,2009,noir,cuirbeige,noir,metallise,blacksapphire(zwartme,pays-bas,cuirbeige,cabriolet,2,4,2.979cm³,boîteautomatique
